City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,69.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
2,Praia Da Vitoria,PT,70.75,clear sky,38.7333,-27.0667,Hotel Branco I
3,Ulcinj,ME,76.5,clear sky,41.9294,19.2244,Hotel Palata Venezia
8,Puerto Ayora,EC,67.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Rikitea,PF,74.21,light rain,-23.1203,-134.9692,People ThankYou
14,Saint-Philippe,RE,65.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Bria,CF,69.6,light rain,6.5423,21.9863,WFP Guesthouse
21,Touros,BR,72.55,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Luanda,AO,66.78,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
23,Hithadhoo,MV,77.63,light rain,-0.6,73.0833,Scoop Guest House
24,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
27,Linxia,CN,68.63,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
33,Jamestown,US,73.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
48,College,US,66.52,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
49,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Kamaishi,JP,72.61,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
63,Murakami,JP,76.89,light rain,38.2333,139.4833,Senami Grand Hotel Haginoya
65,Tigil,RU,74.8,clear sky,57.8,158.6667,Tigil'
70,Half Moon Bay,US,70.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
71,Vila Velha,BR,68.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
75,Khorinsk,RU,78.03,overcast clouds,52.1657,109.7726,Uda
84,Asfi,MA,72.91,scattered clouds,32.2994,-9.2372,Hôtel Abda
86,Kyzyl-Suu,KG,74.25,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
89,Turukhansk,RU,68.49,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
91,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
96,Mindelo,CV,76.55,broken clouds,16.8901,-24.9804,Hotel Gaudi
98,Gull Lake,CA,68.65,clear sky,50.1001,-108.4847,Campbell's Accommodations
100,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
101,Mbandaka,CD,70.43,overcast clouds,0.0487,18.2603,Guest House Epervier
102,Carutapera,BR,74.32,few clouds,-1.195,-46.02,Lidera
104,Atuona,PF,77.4,clear sky,-9.8,-139.0333,Villa Enata
111,Ponta Do Sol,PT,68.63,clear sky,32.6667,-17.1,Hotel do Campo
116,Santa Fe Do Sul,BR,68.04,scattered clouds,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
117,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
118,Hamilton,US,78.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
119,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
120,Salinopolis,BR,77.7,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
122,Maracacume,BR,70.36,few clouds,-2.0428,-45.9592,Hotel Ramos
129,Soyo,AO,69.69,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
139,Tezu,IN,76.82,light rain,27.9167,96.1667,Circuit House
141,Buchanan,LR,74.66,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
142,Kostomuksha,RU,66.94,overcast clouds,64.571,30.5767,U Mikhailicha
143,Murici,BR,73.69,overcast clouds,-9.3067,-35.9433,Espaço WA Abnoan
149,Charters Towers,AU,71.85,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
154,Yulara,AU,74.35,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
156,Birin,NP,67.3,overcast clouds,26.8865,88.0718,Sun Hotel & Lodge
157,Bandarbeyla,SO,78.55,scattered clouds,9.4942,50.8122,JABIR HOTEL
158,Coari,BR,72.36,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
165,Alexandria,EG,77.32,clear sky,31.2156,29.9553,Royal Crown Hotel
167,Harper,LR,74.93,overcast clouds,4.375,-7.7169,Screensaver
169,Aklavik,CA,70.09,overcast clouds,68.2191,-135.0107,Aklavik Inn
170,Booue,GA,70.9,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
177,Nizhniy Kuranakh,RU,79.86,broken clouds,58.8353,125.4869,Park Pobedy
183,Nikolskoye,RU,68.88,few clouds,59.7035,30.7861,Tourist House - Sablino
185,Emerald,AU,69.35,clear sky,-23.5333,148.1667,The Irish Village
186,Mongagua,BR,66.7,few clouds,-24.0931,-46.6208,Hostel Aloha Brasil
187,Salalah,OM,75.29,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
188,Shitanjing,CN,73.33,clear sky,39.2342,106.3439,Yingbin Hotel
189,Ribeira Grande,PT,72.25,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
195,Sabha,LY,75.13,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
196,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
203,Chulym,RU,68.31,scattered clouds,55.0997,80.9572,"""U Tat'yany"""
206,Prachuap Khiri Khan,TH,76.78,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
209,Muhororo,UG,65.52,overcast clouds,0.9381,30.7594,Muhorro Executive Hotel
213,Terre Haute,US,77.27,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
219,Dzaoudzi,YT,75.09,scattered clouds,-12.7887,45.2699,Le Rocher
220,Resistencia,AR,69.85,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
