City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,87,1,16.11,clear sky
1,Mataura,NZ,-46.1927,168.8643,44.47,91,96,3.31,overcast clouds
2,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,94,0,2.35,clear sky
3,Ulcinj,ME,41.9294,19.2244,76.5,51,0,3.8,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,32.11,86,20,16.11,few clouds
5,Ushuaia,AR,-54.8,-68.3,31.66,93,75,28.77,snow
6,Mecca,SA,21.4267,39.8261,83.37,59,5,4.83,clear sky
7,Alofi,NU,-19.0595,-169.9187,80.49,65,40,11.5,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,67.55,98,47,1.99,scattered clouds
9,Kedrovyy,RU,56.1667,91.8167,64.87,65,100,8.21,light rain
10,Qaanaaq,GL,77.484,-69.3632,43.43,97,100,6.17,light rain
11,Yunyang,CN,33.4474,112.7142,84.38,79,100,1.9,light rain
12,Kruisfontein,ZA,-34.0033,24.7314,49.19,70,57,7.45,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,74.21,79,99,23.64,light rain
14,Saint-Philippe,RE,-21.3585,55.7679,65.79,76,19,11.86,few clouds
15,Ust-Kuyga,RU,70.0167,135.6,71.91,40,7,7.18,clear sky
16,Mar Del Plata,AR,-38.0023,-57.5575,48.09,73,0,9.22,clear sky
17,Necochea,AR,-38.5473,-58.7368,47.53,39,100,7.27,overcast clouds
18,Bridlington,GB,54.0831,-0.1919,58.93,78,100,4.83,overcast clouds
19,Bria,CF,6.5423,21.9863,69.6,96,100,1.77,light rain
20,Coihaique,CL,-45.5752,-72.0662,24.75,100,20,3.44,few clouds
21,Touros,BR,-5.1989,-35.4608,72.55,91,100,9.08,overcast clouds
22,Luanda,AO,-8.8368,13.2343,66.78,84,92,6.24,overcast clouds
23,Hithadhoo,MV,-0.6,73.0833,77.63,89,100,13.91,light rain
24,Avarua,CK,-21.2078,-159.775,75.25,73,40,18.41,scattered clouds
25,Kargasok,RU,59.0556,80.8572,61.18,89,100,4.81,overcast clouds
26,Vangaindrano,MG,-23.35,47.6,62.8,90,60,2.95,light rain
27,Linxia,CN,35.6003,103.2064,68.63,45,0,3.47,clear sky
28,Saskylakh,RU,71.9167,114.0833,56.68,57,100,7.4,overcast clouds
29,Tuatapere,NZ,-46.1333,167.6833,44.46,90,100,2.46,overcast clouds
30,Zhenlai,CN,45.8495,123.2973,88.39,42,0,3.8,clear sky
31,Markova,UA,48.6758,24.4138,63.07,68,0,4.34,clear sky
32,Bluff,NZ,-46.6,168.3333,44.8,70,98,9.24,overcast clouds
33,Jamestown,US,42.097,-79.2353,73.71,81,0,6.91,clear sky
34,Cape Town,ZA,-33.9258,18.4232,52.12,91,0,2.3,clear sky
35,Busselton,AU,-33.65,115.3333,61.23,81,98,10.85,overcast clouds
36,Ahipara,NZ,-35.1667,173.1667,57.94,69,99,6.24,overcast clouds
37,Iqaluit,CA,63.7506,-68.5145,40.73,93,20,0.0,few clouds
38,Cherskiy,RU,68.75,161.3,46.78,41,99,14.38,overcast clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,82,75,10.36,broken clouds
40,Dong Xoai,VN,11.5333,106.9167,85.75,66,73,3.53,broken clouds
41,Torbay,CA,47.6666,-52.7314,61.57,86,75,2.3,broken clouds
42,Tasiilaq,GL,65.6145,-37.6368,33.96,84,78,1.68,broken clouds
43,Kapaa,US,22.0752,-159.319,85.98,72,75,16.11,broken clouds
44,Bredasdorp,ZA,-34.5322,20.0403,46.31,79,100,4.76,overcast clouds
45,Albany,US,42.6001,-73.9662,75.43,75,0,4.83,clear sky
46,Esperance,AU,-33.8667,121.9,57.04,68,51,18.75,broken clouds
47,Makakilo City,US,21.3469,-158.0858,82.72,58,0,14.97,clear sky
48,College,US,64.8569,-147.8028,66.52,59,75,6.91,light rain
49,Vaini,TO,-21.2,-175.2,77.16,83,20,11.5,few clouds
50,Kamaishi,JP,39.2667,141.8833,72.61,99,100,9.91,light rain
51,Clinton,US,42.587,-82.9199,84.22,62,75,4.61,broken clouds
52,Lompoc,US,34.6391,-120.4579,58.84,90,100,11.5,mist
53,Airai,TL,-8.9266,125.4092,71.67,37,46,3.83,scattered clouds
54,Hermanus,ZA,-34.4187,19.2345,52.59,68,100,3.76,overcast clouds
55,Cabo San Lucas,MX,22.8909,-109.9124,90.7,71,2,10.78,clear sky
56,Dikson,RU,73.5069,80.5464,49.59,81,31,12.17,scattered clouds
57,Qeshm,IR,26.9581,56.2719,89.49,80,41,14.12,scattered clouds
58,Khandyga,RU,62.6667,135.6,84.78,40,94,6.96,overcast clouds
59,Paita,PE,-5.0892,-81.1144,62.85,83,17,11.39,few clouds
60,Thompson,CA,55.7435,-97.8558,60.96,94,100,4.61,overcast clouds
61,Upernavik,GL,72.7868,-56.1549,43.81,97,100,23.8,light rain
