City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,39.27,91,2,1.99,AU,2022-07-21 19:47:37
1,Castro,-24.7911,-50.0119,67.08,72,39,4.23,BR,2022-07-21 19:48:52
2,Atuona,-9.8,-139.0333,77.58,72,16,15.61,PF,2022-07-21 19:52:21
3,Dudinka,69.4058,86.1778,49.62,86,40,5.17,RU,2022-07-21 19:52:22
4,Kalmunai,7.4167,81.8167,78.24,87,100,7.02,LK,2022-07-21 19:52:22
5,Ribeira Grande,38.5167,-28.7,77.4,78,20,8.05,PT,2022-07-21 19:52:22
6,Kuloy,61.0305,42.4925,59.99,82,50,4.18,RU,2022-07-21 19:52:23
7,Quchan,37.106,58.5095,75.79,17,0,6.46,IR,2022-07-21 19:52:23
8,Mahebourg,-20.4081,57.7,70.09,83,40,16.11,MU,2022-07-21 19:52:23
9,Swan River,52.1058,-101.2676,76.89,36,53,18.41,CA,2022-07-21 19:52:24
10,Pichayevo,53.2363,42.2032,54.09,96,63,5.41,RU,2022-07-21 19:52:24
11,Kupang,-10.1667,123.5833,74.16,84,100,11.41,ID,2022-07-21 19:52:24
12,Alta Floresta,-9.8756,-56.0861,96.62,26,20,5.75,BR,2022-07-21 19:52:25
13,Marystown,47.1666,-55.1483,71.85,100,34,10.0,CA,2022-07-21 19:52:25
14,Arraial Do Cabo,-22.9661,-42.0278,75.16,78,0,10.36,BR,2022-07-21 19:52:25
15,Puerto Ayora,-0.7393,-90.3518,80.56,85,73,5.99,EC,2022-07-21 19:52:26
16,Busselton,-33.65,115.3333,57.74,77,62,10.85,AU,2022-07-21 19:52:26
17,Provideniya,64.3833,-173.3,42.24,69,98,10.42,RU,2022-07-21 19:52:26
18,San Andres,12.5847,-81.7006,87.82,70,40,14.97,CO,2022-07-21 19:52:27
19,Tremedal,-14.9758,-41.4108,77.88,43,13,10.63,BR,2022-07-21 19:52:27
20,Hermanus,-34.4187,19.2345,53.67,75,100,0.96,ZA,2022-07-21 19:52:27
21,Kaitangata,-46.2817,169.8464,43.47,90,96,2.84,NZ,2022-07-21 19:52:28
22,Lompoc,34.6391,-120.4579,92.79,69,0,16.11,US,2022-07-21 19:52:28
23,Lebu,-37.6167,-73.65,53.13,81,98,9.6,CL,2022-07-21 19:52:28
24,Waipawa,-41.4122,175.5153,44.42,73,100,14.12,NZ,2022-07-21 19:52:29
25,Karlskoga,59.3267,14.5239,78.12,84,100,5.79,SE,2022-07-21 19:52:29
26,Bengkulu,-3.8004,102.2655,74.95,92,80,4.25,ID,2022-07-21 19:52:29
27,Albany,42.6001,-73.9662,95.63,43,14,3.0,US,2022-07-21 19:48:33
28,Katsuura,35.1333,140.3,77.99,92,70,14.5,JP,2022-07-21 19:52:30
29,Barrow,71.2906,-156.7887,44.62,81,0,25.32,US,2022-07-21 19:47:42
30,Punta Arenas,-53.15,-70.9167,35.71,80,40,28.77,CL,2022-07-21 19:48:08
31,Bubaque,11.2833,-15.8333,78.76,85,100,16.35,GW,2022-07-21 19:52:30
32,Carnarvon,-24.8667,113.6333,63.09,71,54,16.64,AU,2022-07-21 19:52:30
33,Port Macquarie,-31.4333,152.9167,55.89,83,100,11.63,AU,2022-07-21 19:52:31
34,Saint-Philippe,-21.3585,55.7679,65.79,83,46,14.52,RE,2022-07-21 19:52:31
35,Cruz Das Almas,-12.67,-39.1019,70.56,81,88,7.29,BR,2022-07-21 19:52:31
36,North Auburn,38.9313,-121.0819,102.51,22,0,8.05,US,2022-07-21 19:52:32
37,Udachnyy,66.4167,112.4,48.45,100,100,1.41,RU,2022-07-21 19:52:32
